error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTRY	1000	COLO	1587652	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0003583	path to Jobidunk Ravine, Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1587652
COUNTRY	1000	COLO	1616254	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0006846	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1616254
COUNTRY	1000	COLO	1616266	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0006858	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1616266
COUNTRY	1000	COLO	1616296	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0006888	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1616296
COUNTRY	1000	COLO	1617345	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0007949	Near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1617345
COUNTRY	1000	COLO	1617486	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0008099	Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1617486
COUNTRY	1000	COLO	1617492	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0008105	Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1617492
COUNTRY	1000	COLO	1624553	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0010715	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1624553
COUNTRY	1000	COLO	1624770	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0010916	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1624770
COUNTRY	1000	COLO	1627181	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0011750	Mt. Moosilauke	https://lichenportal.org/portal/collections/individual/index.php?occid=1627181
COUNTRY	1000	COLO	1627497	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0012555	Mt. Moosilauke	https://lichenportal.org/portal/collections/individual/index.php?occid=1627497
COUNTRY	1000	COLO	1628182	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0012516	Near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1628182
COUNTRY	1000	COLO	1629055	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0013661	Mt. Moosilauke	https://lichenportal.org/portal/collections/individual/index.php?occid=1629055
COUNTRY	1000	COLO	1660939	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0021687	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1660939
COUNTRY	1000	COLO	1660945	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0021693	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1660945
COUNTRY	1000	COLO	1660975	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0021723	Summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1660975
COUNTRY	1000	COLO	1661407	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0022161	Summit of Mt Moosilauke, Franconia Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1661407
COUNTRY	1000	COLO	1685161	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0027102	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1685161
COUNTRY	1000	COLO	1685167	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0027108	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1685167
COUNTRY	1000	COLO	1685173	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0027114	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1685173
COUNTRY	1000	COLO	1685487	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0027425	near the summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1685487
COUNTRY	1000	COLO	1685881	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0027820	Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1685881
COUNTRY	1000	COLO	1711413	COLO	Clara E. Cummings	New Hampshire	Grafton	15745.88	outside_boundary_exact	not_found_in_US	-71.830917,44.024511	COLO-L-0036156	summit of Mt. Moosilauke, Franconia Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1711413
