institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
ASU	B.D. Ryan	Missouri	Saint Clair	43.04	outside_boundary_standardized_exact	Missouri, Camden County	38,-93.0125	ASUL047801	Stop 1, ABLS Foray. Buzzard Bluff, E side of Sac River	https://lichenportal.org/portal/collections/individual/index.php?occid=2742596
ASU	B.D. Ryan	Missouri	Saint Clair	43.04	outside_boundary_standardized_exact	Missouri, Camden County	38,-93.0125	NA	Stop 1, ABLS Foray. Buzzard Bluff, E side of Sac River	https://lichenportal.org/portal/collections/individual/index.php?occid=87098
ASU	B.D. Ryan	Missouri	Saint Clair	43.04	outside_boundary_standardized_exact	Missouri, Camden County	38,-93.0125	ASUL010344	Stop 1, ABLS Foray. Buzzard Bluff, E side of Sac River	https://lichenportal.org/portal/collections/individual/index.php?occid=88901
ASU	B.D. Ryan	Missouri	Saint Clair	43.04	outside_boundary_standardized_exact	Missouri, Camden County	38,-93.0125	NA	Stop 1, ABLS Foray. Buzzard Bluff, E side of Sac River	https://lichenportal.org/portal/collections/individual/index.php?occid=95039
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	NA	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49080
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	ASUL001592	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49081
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	NA	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49082
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	NA	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49083
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	ASUL029108	Buzzards Bluff above the Sac River, ca. 80 km [50 mi] N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49084
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	NA	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49085
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	ASUL032158	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49088
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	ASUL030532	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49089
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	ASUL020503	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49090
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	NA	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49091
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	NA	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49092
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	NA	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49093
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	NA	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49094
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	NA	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49095
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	NA	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49096
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	NA	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49097
ASU	T.H. Nash III	Missouri	Saint Clair	8.91	outside_boundary_standardized_exact	Missouri, Cedar County	37.75,-93.6333333	ASUL011317	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=49099
