institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
OSC	Emily Holt	Alaska	Northwest Arctic	4837.95	outside_boundary_exact	not_found_in_US	65.61686,-63.4308	143702	Bering Land Bridge National Preserve, plot 6P	https://lichenportal.org/portal/collections/individual/index.php?occid=2226882
OSC	Emily Holt	Alaska	Northwest Arctic	4837.95	outside_boundary_exact	not_found_in_US	65.61686,-63.4308	143702	Bering Land Bridge National Preserve, plot 6P	https://lichenportal.org/portal/collections/individual/index.php?occid=2226882
OSC	Linda Geiser	Alaska	Juneau	250.78	outside_boundary_exact	Alaska, Yakutat County	59.471,-139.1408	168989	Tongas National Forest. Near Pike Lakes RNA at road access, south side of road.	https://lichenportal.org/portal/collections/individual/index.php?occid=4423366
OSC	Linda Geiser	Alaska	Juneau	250.78	outside_boundary_exact	Alaska, Yakutat County	59.471,-139.1408	168989	Tongas National Forest. Near Pike Lakes RNA at road access, south side of road.	https://lichenportal.org/portal/collections/individual/index.php?occid=4423366
OSC	C. Derr	Alaska	Yakutat	237.41	outside_boundary_exact	Alaska, Chugach County	60.4580555555556,-147.684444444444	167943	Glacier R.D., Chugach N.F. Herring Bay, Knight Island, Prince William Sound	https://lichenportal.org/portal/collections/individual/index.php?occid=4422375
OSC	C. Derr	Alaska	Yakutat	237.41	outside_boundary_exact	Alaska, Chugach County	60.4580555555556,-147.684444444444	167943	Glacier R.D., Chugach N.F. Herring Bay, Knight Island, Prince William Sound	https://lichenportal.org/portal/collections/individual/index.php?occid=4422375
OSC	JoAnn Flock	Alaska	Nome	223.51	outside_boundary_exact	not_found_in_US	68.575,-168	71558	Seward Peninsula, Cape Prince of Wales, Cape Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=5426647
OSC	JoAnn Flock	Alaska	Nome	223.51	outside_boundary_exact	not_found_in_US	68.575,-168	71558	Seward Peninsula, Cape Prince of Wales, Cape Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=5426647
OSC	Peter Neitlich	Alaska	Aleutians East	185.75	outside_boundary_exact	not_found_in_US	58.616667,-159.966667	94881	Round Island, Walrus Islands State Game Sanctuary, approximately 50 km S of Togiak	https://lichenportal.org/portal/collections/individual/index.php?occid=4414767
OSC	Peter Neitlich	Alaska	Aleutians East	185.75	outside_boundary_exact	not_found_in_US	58.616667,-159.966667	94881	Round Island, Walrus Islands State Game Sanctuary, approximately 50 km S of Togiak	https://lichenportal.org/portal/collections/individual/index.php?occid=4414767
OSC	A. H. Marsh	Alaska	Yukon Koyukuk	181.83	outside_boundary_similarity_0.6	not_found_in_US	67.4666667,-137.6583333	53607	Old Crow	https://lichenportal.org/portal/collections/individual/index.php?occid=482062
OSC	A. H. Marsh	Alaska	Yukon Koyukuk	181.83	outside_boundary_similarity_0.6	not_found_in_US	67.4666667,-137.6583333	53607	Old Crow	https://lichenportal.org/portal/collections/individual/index.php?occid=482062
OSC	Emily Holt	Alaska	Nome	141.83	outside_boundary_exact	Alaska, Northwest Arctic County	67.530396,-162.309779	143016	Bering Land Bridge National Preserve, Plot SW-4b	https://lichenportal.org/portal/collections/individual/index.php?occid=2226385
OSC	Emily Holt	Alaska	Nome	141.83	outside_boundary_exact	Alaska, Northwest Arctic County	67.530396,-162.309779	143016	Bering Land Bridge National Preserve, Plot SW-4b	https://lichenportal.org/portal/collections/individual/index.php?occid=2226385
OSC	K. Dillman	Alaska	Juneau	137.04	outside_boundary_exact	Alaska, Petersburg County	56.603666,-132.778978	OSC-M-051895	Alexander Archipelago, Mitkof Island, Blind River, 18 mile Mitkof Highway.	https://lichenportal.org/portal/collections/individual/index.php?occid=5077715
OSC	K. Dillman	Alaska	Juneau	137.04	outside_boundary_exact	Alaska, Petersburg County	56.603666,-132.778978	OSC-M-051914	Alexander Archipelago, Mitkof Island, Blind River, 18 mile Mitkof Highway.	https://lichenportal.org/portal/collections/individual/index.php?occid=5077735
OSC	K. Dillman	Alaska	Juneau	137.04	outside_boundary_exact	Alaska, Petersburg County	56.603666,-132.778978	OSC-M-051895	Alexander Archipelago, Mitkof Island, Blind River, 18 mile Mitkof Highway.	https://lichenportal.org/portal/collections/individual/index.php?occid=5077715
OSC	K. Dillman	Alaska	Juneau	137.04	outside_boundary_exact	Alaska, Petersburg County	56.603666,-132.778978	OSC-M-051914	Alexander Archipelago, Mitkof Island, Blind River, 18 mile Mitkof Highway.	https://lichenportal.org/portal/collections/individual/index.php?occid=5077735
OSC	K. Dillman	Alaska	Juneau	136.85	outside_boundary_exact	Alaska, Petersburg County	56.604592,-132.782417	OSC-M-051890	Alexander Archipelago, Mitkof Island, Blind River, 18 mile Mitkof Highway.	https://lichenportal.org/portal/collections/individual/index.php?occid=5077455
OSC	K. Dillman	Alaska	Juneau	136.85	outside_boundary_exact	Alaska, Petersburg County	56.604592,-132.782417	OSC-M-051890	Alexander Archipelago, Mitkof Island, Blind River, 18 mile Mitkof Highway.	https://lichenportal.org/portal/collections/individual/index.php?occid=5077455
OSC	Heather Root	Alaska	Matanuska Susitna	121.33	outside_boundary_similarity_0.765	Alaska, Yukon-Koyukuk County	64.6164,-149.3627	141207	Town of Eklutna between train tracks and visitor museum church. HRAK40	https://lichenportal.org/portal/collections/individual/index.php?occid=2225057
OSC	Heather Root	Alaska	Matanuska Susitna	121.33	outside_boundary_similarity_0.765	Alaska, Yukon-Koyukuk County	64.6164,-149.3627	141207	Town of Eklutna between train tracks and visitor museum church. HRAK40	https://lichenportal.org/portal/collections/individual/index.php?occid=2225057
OSC	K. Dillman	Alaska	Juneau	117.14	outside_boundary_exact	Alaska, Petersburg County	56.76195,-132.95764	OSC-M-051891	Alexander Archipelago, Kuiu Island, Tebenkof Bay, Unamed Island west of Step Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=5077456
OSC	K. Dillman	Alaska	Juneau	117.14	outside_boundary_exact	Alaska, Petersburg County	56.76195,-132.95764	OSC-M-051892	Alexander Archipelago, Kuiu Island, Tebenkof Bay, Unamed Island west of Step Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=5077457
OSC	K. Dillman	Alaska	Juneau	117.14	outside_boundary_exact	Alaska, Petersburg County	56.76195,-132.95764	OSC-M-051915	Alexander Archipelago, Kuiu Island, Tebenkof Bay, Unamed Island west of Step Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=5077736
OSC	K. Dillman	Alaska	Juneau	117.14	outside_boundary_exact	Alaska, Petersburg County	56.76195,-132.95764	OSC-M-051891	Alexander Archipelago, Kuiu Island, Tebenkof Bay, Unamed Island west of Step Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=5077456
OSC	K. Dillman	Alaska	Juneau	117.14	outside_boundary_exact	Alaska, Petersburg County	56.76195,-132.95764	OSC-M-051892	Alexander Archipelago, Kuiu Island, Tebenkof Bay, Unamed Island west of Step Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=5077457
OSC	K. Dillman	Alaska	Juneau	117.14	outside_boundary_exact	Alaska, Petersburg County	56.76195,-132.95764	OSC-M-051915	Alexander Archipelago, Kuiu Island, Tebenkof Bay, Unamed Island west of Step Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=5077736
OSC	K. Dillman	Alaska	Juneau	117.12	outside_boundary_exact	Alaska, Petersburg County	56.762079,-132.957774	OSC-M-051893	Alexander Archipelago, Mitkof Island, 4.3 mile Mitkof Highway.	https://lichenportal.org/portal/collections/individual/index.php?occid=5077458
OSC	K. Dillman	Alaska	Juneau	117.12	outside_boundary_exact	Alaska, Petersburg County	56.762079,-132.957774	OSC-M-051893	Alexander Archipelago, Mitkof Island, 4.3 mile Mitkof Highway.	https://lichenportal.org/portal/collections/individual/index.php?occid=5077458
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162279	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415718
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162294	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415730
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162466	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415784
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162510	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415828
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162619	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415925
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162672	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415978
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162673	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415979
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162279	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415718
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162294	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415730
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162466	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415784
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162510	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415828
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162619	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415925
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162672	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415978
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162673	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415979
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162295	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4415731
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162525	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415843
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162596	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4415912
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162629	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4415935
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162701	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4416008
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162724	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4416032
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162295	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4415731
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162525	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415843
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162596	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4415912
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162629	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4415935
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162701	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4416008
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162724	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4416032
OSC	Peter R. Nelson	Alaska	North Slope	101.53	outside_boundary_exact	Alaska, Northwest Arctic County	66.87287877,-155.7360967	162298	Gates of the Arctic National Park and Preserve, West side of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415734
OSC	Peter R. Nelson	Alaska	North Slope	101.53	outside_boundary_exact	Alaska, Northwest Arctic County	66.87287877,-155.7360967	162462	Gates of the Arctic National Park and Preserve, West side of Lake Selbty; black spruce forest	https://lichenportal.org/portal/collections/individual/index.php?occid=4415780
OSC	Peter R. Nelson	Alaska	North Slope	101.53	outside_boundary_exact	Alaska, Northwest Arctic County	66.87287877,-155.7360967	162579	Gates of the Arctic National Park and Preserve, West side of Lake Selbty; black spruce forest	https://lichenportal.org/portal/collections/individual/index.php?occid=4415895
OSC	Peter R. Nelson	Alaska	North Slope	101.53	outside_boundary_exact	Alaska, Northwest Arctic County	66.87287877,-155.7360967	162660	Gates of the Arctic National Park and Preserve, West side of Lake Selbty; black spruce forest	https://lichenportal.org/portal/collections/individual/index.php?occid=4415966
OSC	Peter R. Nelson	Alaska	North Slope	101.53	outside_boundary_exact	Alaska, Northwest Arctic County	66.87287877,-155.7360967	162667	Gates of the Arctic National Park and Preserve, West side of Lake Selbty; black spruce forest	https://lichenportal.org/portal/collections/individual/index.php?occid=4415973
OSC	Peter R. Nelson	Alaska	North Slope	101.53	outside_boundary_exact	Alaska, Northwest Arctic County	66.87287877,-155.7360967	162298	Gates of the Arctic National Park and Preserve, West side of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415734
OSC	Peter R. Nelson	Alaska	North Slope	101.53	outside_boundary_exact	Alaska, Northwest Arctic County	66.87287877,-155.7360967	162462	Gates of the Arctic National Park and Preserve, West side of Lake Selbty; black spruce forest	https://lichenportal.org/portal/collections/individual/index.php?occid=4415780
OSC	Peter R. Nelson	Alaska	North Slope	101.53	outside_boundary_exact	Alaska, Northwest Arctic County	66.87287877,-155.7360967	162579	Gates of the Arctic National Park and Preserve, West side of Lake Selbty; black spruce forest	https://lichenportal.org/portal/collections/individual/index.php?occid=4415895
OSC	Peter R. Nelson	Alaska	North Slope	101.53	outside_boundary_exact	Alaska, Northwest Arctic County	66.87287877,-155.7360967	162660	Gates of the Arctic National Park and Preserve, West side of Lake Selbty; black spruce forest	https://lichenportal.org/portal/collections/individual/index.php?occid=4415966
OSC	Peter R. Nelson	Alaska	North Slope	101.53	outside_boundary_exact	Alaska, Northwest Arctic County	66.87287877,-155.7360967	162667	Gates of the Arctic National Park and Preserve, West side of Lake Selbty; black spruce forest	https://lichenportal.org/portal/collections/individual/index.php?occid=4415973
OSC	Peter R. Nelson	Alaska	North Slope	101.03	outside_boundary_exact	Alaska, Northwest Arctic County	66.87742956,-155.7271159	171136	Gates of the Arctic National Park and Preserve, West side of Lake Selbty; birch forest with occasional spruce	https://lichenportal.org/portal/collections/individual/index.php?occid=4428132
OSC	Peter R. Nelson	Alaska	North Slope	101.03	outside_boundary_exact	Alaska, Northwest Arctic County	66.87742956,-155.7271159	162558	Gates of the Arctic National Park and Preserve, West side of Lake Selbty; birch forest with occasional spruce	https://lichenportal.org/portal/collections/individual/index.php?occid=4415876
OSC	Peter R. Nelson	Alaska	North Slope	101.03	outside_boundary_exact	Alaska, Northwest Arctic County	66.87742956,-155.7271159	162620	Gates of the Arctic National Park and Preserve, West side of Lake Selbty; birch forest with occasional spruce	https://lichenportal.org/portal/collections/individual/index.php?occid=4415926
OSC	Peter R. Nelson	Alaska	North Slope	101.03	outside_boundary_exact	Alaska, Northwest Arctic County	66.87742956,-155.7271159	171136	Gates of the Arctic National Park and Preserve, West side of Lake Selbty; birch forest with occasional spruce	https://lichenportal.org/portal/collections/individual/index.php?occid=4428132
OSC	Peter R. Nelson	Alaska	North Slope	101.03	outside_boundary_exact	Alaska, Northwest Arctic County	66.87742956,-155.7271159	162558	Gates of the Arctic National Park and Preserve, West side of Lake Selbty; birch forest with occasional spruce	https://lichenportal.org/portal/collections/individual/index.php?occid=4415876
OSC	Peter R. Nelson	Alaska	North Slope	101.03	outside_boundary_exact	Alaska, Northwest Arctic County	66.87742956,-155.7271159	162620	Gates of the Arctic National Park and Preserve, West side of Lake Selbty; birch forest with occasional spruce	https://lichenportal.org/portal/collections/individual/index.php?occid=4415926
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162248	Gates of the Arctic National Park and Preserve; Northwest corner of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415690
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162273	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby.	https://lichenportal.org/portal/collections/individual/index.php?occid=4415712
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162286	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby; dry subalpine mixed shrub	https://lichenportal.org/portal/collections/individual/index.php?occid=4415724
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162504	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby.	https://lichenportal.org/portal/collections/individual/index.php?occid=4415822
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162526	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby; dry subalpine mixed shrub	https://lichenportal.org/portal/collections/individual/index.php?occid=4415844
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162538	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415856
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162648	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby; dry subalpine mixed shrub	https://lichenportal.org/portal/collections/individual/index.php?occid=4415954
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162664	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415970
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162666	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby; dry subalpine mixed shrub	https://lichenportal.org/portal/collections/individual/index.php?occid=4415972
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162733	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby; dry subalpine mixed shrub	https://lichenportal.org/portal/collections/individual/index.php?occid=4416041
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162248	Gates of the Arctic National Park and Preserve; Northwest corner of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415690
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162273	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby.	https://lichenportal.org/portal/collections/individual/index.php?occid=4415712
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162286	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby; dry subalpine mixed shrub	https://lichenportal.org/portal/collections/individual/index.php?occid=4415724
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162504	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby.	https://lichenportal.org/portal/collections/individual/index.php?occid=4415822
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162526	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby; dry subalpine mixed shrub	https://lichenportal.org/portal/collections/individual/index.php?occid=4415844
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162538	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415856
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162648	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby; dry subalpine mixed shrub	https://lichenportal.org/portal/collections/individual/index.php?occid=4415954
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162664	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415970
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162666	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby; dry subalpine mixed shrub	https://lichenportal.org/portal/collections/individual/index.php?occid=4415972
OSC	Peter R. Nelson	Alaska	North Slope	99.46	outside_boundary_exact	Alaska, Northwest Arctic County	66.89256187,-155.7057704	162733	Gates of the Arctic National Park and Preserve, Northwest corner of Lake Selby; dry subalpine mixed shrub	https://lichenportal.org/portal/collections/individual/index.php?occid=4416041
OSC	Peter R. Nelson	Alaska	North Slope	97.76	outside_boundary_exact	Alaska, Northwest Arctic County	66.90024902,-155.6033982	171213	Gates of the Arctic National Park and Preserve, Mountains above southeast corner of Narvak Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=4428209
OSC	Peter R. Nelson	Alaska	North Slope	97.76	outside_boundary_exact	Alaska, Northwest Arctic County	66.90024902,-155.6033982	162261	Gates of the Arctic National Park and Preserve, Mountains above southeast corner of Narvak Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=4415702
OSC	Peter R. Nelson	Alaska	North Slope	97.76	outside_boundary_exact	Alaska, Northwest Arctic County	66.90024902,-155.6033982	162290	Gates of the Arctic National Park and Preserve, Mountains above southeast corner of Narvak Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=4415728
OSC	Peter R. Nelson	Alaska	North Slope	97.76	outside_boundary_exact	Alaska, Northwest Arctic County	66.90024902,-155.6033982	162293	Gates of the Arctic National Park and Preserve, Mountains above southeast corner of Narvak Lake; steep talus and dwarf shrubs	https://lichenportal.org/portal/collections/individual/index.php?occid=4415729
OSC	Peter R. Nelson	Alaska	North Slope	97.76	outside_boundary_exact	Alaska, Northwest Arctic County	66.90024902,-155.6033982	162548	Gates of the Arctic National Park and Preserve, Mountains above southeast corner of Narvak Lake; steep talus and dwarf shrubs	https://lichenportal.org/portal/collections/individual/index.php?occid=4415866
OSC	Peter R. Nelson	Alaska	North Slope	97.76	outside_boundary_exact	Alaska, Northwest Arctic County	66.90024902,-155.6033982	162627	Gates of the Arctic National Park and Preserve, Mountains above southeast corner of Narvak Lake; steep talus and dwarf shrubs	https://lichenportal.org/portal/collections/individual/index.php?occid=4415933
OSC	Peter R. Nelson	Alaska	North Slope	97.76	outside_boundary_exact	Alaska, Northwest Arctic County	66.90024902,-155.6033982	162703	Gates of the Arctic National Park and Preserve, Mountains above southeast corner of Narvak Lake; steep talus and dwarf shrubs	https://lichenportal.org/portal/collections/individual/index.php?occid=4416010
OSC	Peter R. Nelson	Alaska	North Slope	97.76	outside_boundary_exact	Alaska, Northwest Arctic County	66.90024902,-155.6033982	171213	Gates of the Arctic National Park and Preserve, Mountains above southeast corner of Narvak Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=4428209
OSC	Peter R. Nelson	Alaska	North Slope	97.76	outside_boundary_exact	Alaska, Northwest Arctic County	66.90024902,-155.6033982	162261	Gates of the Arctic National Park and Preserve, Mountains above southeast corner of Narvak Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=4415702
OSC	Peter R. Nelson	Alaska	North Slope	97.76	outside_boundary_exact	Alaska, Northwest Arctic County	66.90024902,-155.6033982	162290	Gates of the Arctic National Park and Preserve, Mountains above southeast corner of Narvak Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=4415728
