occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1320432	MONT	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	MONT-L-0001195	41,-105.366667	Wyoming, Albany County	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1320432
1367778	MONT	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	MONT-L-0002213	41,-105.36667	Wyoming, Albany County	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1367778
1367839	MONT	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	MONT-L-0002274	41,-105.366667	Wyoming, Albany County	0.8 km S of Wyoming State Line, just N of Virginia Dale	https://lichenportal.org/portal/collections/individual/index.php?occid=1367839
1367892	MONT	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	MONT-L-0002327	41,-105.366667	Wyoming, Albany County	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1367892
1437383	MONT	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	MONT-L-0004502	41,-105.366667	Wyoming, Albany County	Just N of Virginia Dale, c. 0.8 km S of Wyoming state line	https://lichenportal.org/portal/collections/individual/index.php?occid=1437383
1437561	MONT	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	MONT-L-0004680	41,-105.366667	Wyoming, Albany County	0.8 km south of Wyoming State Line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1437561
1461236	MONT	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	MONT-L-0006676	41,-105.3666667	Wyoming, Albany County	0.8 kilometers south of Wyoming State Line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1461236
1466629	MONT	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	MONT-L-0007321	41,-105.366667	Wyoming, Albany County	ca. 0.8 km south of the Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1466629
1466702	MONT	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	MONT-L-0007394	41,-105.366667	Wyoming, Albany County	about 0.8 kilometers south of Wyoming State line; north of Virginia Dale	https://lichenportal.org/portal/collections/individual/index.php?occid=1466702
1467416	MONT	S. Shushan	Colorado	Larimer	0.24	outside_boundary_exact	MONT-L-0008301	41,-105.366666666667	Wyoming, Albany County	ca. 0.8 km south of the Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1467416
1370320	MONT	S. Shushan	Colorado	Summit-Clear Creek	NA	county_not_matched_no_match	MONT-L-0002415	39.65,-105.85	county_not_matched	northeast of Loveland Pass; 33 km west southwest of Idaho Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1370320
