error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTRY	1000	CSU	3435304	CSU	S. Strawn	Oklahoma	Latimer	13366.02	outside_boundary_exact	not_found_in_US	35,95.34	CSU-L-000154	RobbersCaveStPk	https://lichenportal.org/portal/collections/individual/index.php?occid=3435304
COUNTRY	1000	MIN	416726	MIN	Harris, R.	Oklahoma	Cherokee	1972.59	outside_boundary_exact	not_found_in_US	53.99166667,-94.8625	881855	7 Mi Ne of Tahlequah, Tully Hollow	https://lichenportal.org/portal/collections/individual/index.php?occid=416726
COUNTRY	1000	MIN	416727	MIN	Harris, R.	Oklahoma	Cherokee	1972.59	outside_boundary_exact	not_found_in_US	53.99166667,-94.8625	881856	7 Mi Ne of Tahlequah, Tully Hollow	https://lichenportal.org/portal/collections/individual/index.php?occid=416727
COUNTRY	1000	MOR	5648266	MOR	Caleb A. Morse	Oklahoma	Okmulgee	13159.99	outside_boundary_exact	not_found_in_US	35.61931,96.0699	L-0019409-MOR	0.5-0.75 mi W of jct of US hwys 62& 75 on S side of Okmulgee. Okmulgee State Park, on peninsula just N of Blackjack Area Tent camping sites.	https://lichenportal.org/portal/collections/individual/index.php?occid=5648266
COUNTRY	1000	SBBG	3555079	SBBG	C. A. Morse	Oklahoma	Ellis	10721.33	outside_boundary_exact	not_found_in_US	1.016667,-1.016667	SBBG001772L	ca. 1 mi S, 10 mi W Camargo. (Camargo in Dewey Co.) TNC Four Canyon Preserve; near mouth of Horse & Mulberry Cyn	https://lichenportal.org/portal/collections/individual/index.php?occid=3555079
COUNTRY	1000	SBBG	3555095	SBBG	C. A. Morse	Oklahoma	Caddo	12928.74	outside_boundary_exact	not_found_in_US	35.4371,98.3544	SBBG002095L	ca. 2.5 mi S Hinton, Red Rock Cyn State Park; S end, above California Rd Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=3555095
COUNTRY	1000	WTU	1281033	WTU	B. Ryan	Oklahoma	Newton	NA	county_not_matched_no_match	county_not_matched	36,-93.416667	WTU-L-032478	Lost Valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=1281033
COUNTRY	1000	WTU	1281205	WTU	B. Ryan	Oklahoma	Newton	NA	county_not_matched_no_match	county_not_matched	36,-93.416667	WTU-L-033385	Lost Valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=1281205
COUNTRY	1000	WTU	1281207	WTU	B. Ryan	Oklahoma	Newton	NA	county_not_matched_no_match	county_not_matched	36,-93.416667	WTU-L-033387	Lost Valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=1281207
COUNTRY	1000	WTU	1282099	WTU	B. Ryan	Oklahoma	Newton	NA	county_not_matched_no_match	county_not_matched	36,-93.416667	WTU-L-034479	Lost Valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=1282099
