institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COLO	B.D. Ryan	Montana	Sweet Grass	277.55	outside_boundary_exact	Montana, Hill County	48.733333,-110.216667	COLO-L-0021453	0.5 miles up gravel road south of Interstate Highway 90, Springdale turnoff, 16 miles west of Big Timer	https://lichenportal.org/portal/collections/individual/index.php?occid=1660744
COLO	E.V. Post	Montana	Mineral	84.27	outside_boundary_exact	Montana, Lincoln County	48.25,-115.333333	COLO-L-0004211	48° 15' N 115° 20' W	https://lichenportal.org/portal/collections/individual/index.php?occid=1588286
COLO	Henry A. Imshaug	Montana	Flathead	12.59	outside_boundary_exact	Montana, Glacier County	48.7,-113.516667	COLO-L-0030044	Glacier National Park, Rose Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1689276
COLO	T. H. Nash III	Montana	Carbon	10.61	outside_boundary_exact	Montana, Park County	45.0166667,-109.9333333	COLO-L-0001719	Beartooth Plateau NE of Yellowstone National Park in Gallatin National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1580826
COLO	Thomas H. Nash III	Montana	Carbon	10.61	outside_boundary_exact	Montana, Park County	45.0166667,-109.9333333	COLO-L-0036624	Beartooth Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=1711872
COLO	Thomas H. Nash III	Montana	Carbon	10.61	outside_boundary_exact	Montana, Park County	45.0166667,-109.9333333	COLO-L-0040271	Beartooth Plateau NE of Yellowstone National Park in Gallatin National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1716874
COLO	H. A. Imshaug	Montana	Granite	4.46	outside_boundary_exact	Montana, Powell County	46.35028,-112.97889	COLO-L-0003879	Summit of Mt. Powell, Flint Creek Range	https://lichenportal.org/portal/collections/individual/index.php?occid=1587940
COLO	H.A. Imshaug	Montana	Granite	4.46	outside_boundary_exact	Montana, Powell County	46.35028,-112.97889	COLO-L-0015044	summit of Mt. Powell, Flint Creek Range	https://lichenportal.org/portal/collections/individual/index.php?occid=1632839
COLO	H. A. Imshaug	Montana	Granite	4.46	outside_boundary_exact	Montana, Powell County	46.35028,-112.97889	COLO-L-0024458	Summit of Mt. Powell, Flint Creek Range	https://lichenportal.org/portal/collections/individual/index.php?occid=1681372
COLO	H.A. Imshaug	Montana	Granite	4.46	outside_boundary_exact	Montana, Powell County	46.35028,-112.97889	COLO-L-0043688	summit of Mt. Powell, Flint Creek Range	https://lichenportal.org/portal/collections/individual/index.php?occid=1728569
