institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3408.92	outside_boundary_exact	not_found_in_US	60.1945,149.5963	NA	near park entrance on Exit Glacier Road, floodplain of Resurrection River, Kenai Fjords National Park, waypoint 849	https://lichenportal.org/portal/collections/individual/index.php?occid=3352448
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3408.92	outside_boundary_exact	not_found_in_US	60.1945,149.5963	NA	near park entrance on Exit Glacier Road, floodplain of Resurrection River, Kenai Fjords National Park, waypoint 849	https://lichenportal.org/portal/collections/individual/index.php?occid=3352450
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3408.92	outside_boundary_exact	not_found_in_US	60.1945,149.5963	NA	near park entrance on Exit Glacier Road, floodplain of Resurrection River, Kenai Fjords National Park, waypoint 849	https://lichenportal.org/portal/collections/individual/index.php?occid=3352451
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3408.92	outside_boundary_exact	not_found_in_US	60.1945,149.5963	NA	near park entrance on Exit Glacier Road, floodplain of Resurrection River, Kenai Fjords National Park, waypoint 849	https://lichenportal.org/portal/collections/individual/index.php?occid=3352452
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3408.92	outside_boundary_exact	not_found_in_US	60.1945,149.5963	NA	near park entrance on Exit Glacier Road, floodplain of Resurrection River, Kenai Fjords National Park, waypoint 849	https://lichenportal.org/portal/collections/individual/index.php?occid=3352465
SRP	Roger Rosentreter	Alaska	Kenai Peninsula	3407.35	outside_boundary_exact	not_found_in_US	59.7289,149.834	NA	East side of Harris Bay. Kenai Fjords National Park. Waypoint 899	https://lichenportal.org/portal/collections/individual/index.php?occid=3352548
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887	https://lichenportal.org/portal/collections/individual/index.php?occid=3352495
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887.<br/>	https://lichenportal.org/portal/collections/individual/index.php?occid=3352496
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887	https://lichenportal.org/portal/collections/individual/index.php?occid=3352498
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352499
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352500
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords Naional Park. Waypoint 887.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352501
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352504
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887	https://lichenportal.org/portal/collections/individual/index.php?occid=3352506
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352507
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352508
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3370.96	outside_boundary_exact	not_found_in_US	59.5934,150.5055	NA	North Point of Pilot Harbor on North Arm of Nuka Bay, Kenai Fjords National park, waypoint 866	https://lichenportal.org/portal/collections/individual/index.php?occid=3352471
SRP	Roger Rosentreter	Alaska	Kenai Peninsula	3370.96	outside_boundary_exact	not_found_in_US	59.5934,150.5055	NA	North of Pilot Harbor on North Arm of Nuka Bay, Kenai Fjords National Park, waypoint 866	https://lichenportal.org/portal/collections/individual/index.php?occid=3352472
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3370.96	outside_boundary_exact	not_found_in_US	59.5934,150.5055	NA	North of Pilot Harbor on North Arm of Nuka Bay, Kenai Fjords National Park, waypoint 866	https://lichenportal.org/portal/collections/individual/index.php?occid=3352473
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3370.96	outside_boundary_exact	not_found_in_US	59.5934,150.5055	NA	North of Pilot Harbor on North Arm of Nuka Bay, Kenai Fjords National Park, waypoint 866	https://lichenportal.org/portal/collections/individual/index.php?occid=3352475
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3370.96	outside_boundary_exact	not_found_in_US	59.5934,150.5055	NA	North of Pilot Harbor on North Arm of Nuka Bay, Kenai Fjords National Park, waypoint 866	https://lichenportal.org/portal/collections/individual/index.php?occid=3352476
SRP	Roger Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore of Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352447
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352453
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore of Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352454
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352455
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352457
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352458
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352459
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoiint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352460
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352461
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352462
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352463
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352464
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352466
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352467
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352468
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352469
SRP	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352470
SRP	Roger Rosentreter	Alaska	Lake and Peninsula	2928.79	outside_boundary_exact	not_found_in_US	60.37672,153.93924	SRP-0000000	Shore of Lake Clark ca. 30 km NE of Port Alsworth, W of Hatchet Point, Lake Clark National Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352278
SRP	Roger Rosentreter	Alaska	Lake and Peninsula	2908.91	outside_boundary_exact	not_found_in_US	60.19573,154.29758	SRP-0000000	Trail to Tanalian Falls from Port Alsworth Lake Clark National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352269
SRP	J. R. Fulkerson	Alaska	Northwest Arctic	1871.86	outside_boundary_exact	not_found_in_US	66.1832,160.1399	SRP-L-0011258	On the Seward Penninsula at Selawik Hills.	https://lichenportal.org/portal/collections/individual/index.php?occid=1447243
SRP	J. R. Fulkerson	Alaska	Northwest Arctic	1871.86	outside_boundary_exact	not_found_in_US	66.1832,160.1399	SRP-L-0011260	Found on the Seward Peninsula at the Selawik Hills.	https://lichenportal.org/portal/collections/individual/index.php?occid=1447245
SRP	J. R. Fulkerson	Alaska	Northwest Arctic	1871.86	outside_boundary_exact	not_found_in_US	66.1832,160.1399	SRP-L-0011261	Found on the Seward Peninsula at the Selawik Hills.	https://lichenportal.org/portal/collections/individual/index.php?occid=1447246
SRP	J. R. Fulkerson	Alaska	Northwest Arctic	1834.7	outside_boundary_exact	not_found_in_US	67.36095,160.37025	SRP-L-0011267	site near Timber Creek.	https://lichenportal.org/portal/collections/individual/index.php?occid=1447252
SRP	J. R. Fulkerson	Alaska	Northwest Arctic	1832.66	outside_boundary_exact	not_found_in_US	65.36897,161.25746	SRP-L-0011263	At Granite Hot Springs on the Seward Peninsula, with wet environment and full sun.; BLM-WACH Plot	https://lichenportal.org/portal/collections/individual/index.php?occid=1447248
SRP	C. C. Derr, K Dillman	Alaska	Petersburg Census Area	536.94	outside_boundary_reverse_partial	not_found_in_US	56.618889,-123.840279	SRP-L-0006425	Blind River Rapids Fishing Area. Petersburg, Mitkof Island. Frederick Sound.	https://lichenportal.org/portal/collections/individual/index.php?occid=1128625
SRP	C. C. Derr	Alaska	Petersburg Census Area	536.94	outside_boundary_reverse_partial	not_found_in_US	56.618889,-123.840279	SRP-L-0006426	Blind River Rapids Fishing Area. Petersburg, Mitkof Island. Frederick Sound.	https://lichenportal.org/portal/collections/individual/index.php?occid=1128624
SRP	Roger Rosentreter	Alaska	Kenai Peninsula	339.23	outside_boundary_exact	not_found_in_US	59.87077,-143.09098	NA	near Chinitna Ranger Station on north side of Chinitna Bay, Lake Clark National Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352834
SRP	T. H. Nash III	Alaska	PPetersburg	67.36	outside_boundary_reverse_partial	Alaska, Wrangell County	56.011111,-132.0125	NA	Tongass National Forest, ca. 15 km S of Petersburg, Mitkof Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=3353079
SRP	W B (Wilfred Borden) Schofield, S. S. Talbot & S. Looman Talbot	Alaska	Aleutians West	58.02	outside_boundary_exact	not_found_in_US	52.8,-173.166667	SRP-L-0001627	Murder Point, Attu Island, Aleutian Is..	https://lichenportal.org/portal/collections/individual/index.php?occid=1445241
SRP	K. Dillman	Alaska	Petersburg Census Area	47.14	outside_boundary_reverse_partial	Alaska, Prince of Wales-Hyder County	56.229061,-134.083542	SRP-L-0004668	Southeastern Alaska, Tongass National Forest, Kuiu Island S Kuiu Wilderness, Affleck Pt. on west side of Affleck Canal, at rocky point of peninsula between Bear Harbor and Affleck Canal. Quad Port Alex A-1.	https://lichenportal.org/portal/collections/individual/index.php?occid=1128961
SRP	S. S. Talbot	Alaska	Kodiak Island	42.03	outside_boundary_exact	not_found_in_US	56.405417,-157.45925	SRP-L-0006855	Wide Bay area, Alaska Peninsula.	https://lichenportal.org/portal/collections/individual/index.php?occid=1208873
SRP	Roger Rosentreter	Alaska	Kenai Peninsula	38.13	outside_boundary_exact	Alaska, Lake and Peninsula County	60.18411,-154.26812	SRP-0000000	Tanalian Falls east of Port Alsworth Lake Clark National Park;	https://lichenportal.org/portal/collections/individual/index.php?occid=3352265
SRP	Roger Rosentreter	Alaska	Fairbanks North Star Borough	31.74	outside_boundary_exact	Alaska, Yukon-Koyukuk County	65.483704,-145.396896	SRP-L-0006163	Waypoint #304. At the hilltop east of Eagle Summit parking area Steese Highway, Fairbanks North Star Borough, Alaska.	https://lichenportal.org/portal/collections/individual/index.php?occid=1209231
SRP	Roger Rosentreter	Alaska	Fairbanks North Star Borough	31.47	outside_boundary_exact	Alaska, Yukon-Koyukuk County	65.486702,-145.415299	SRP-F-0000015	Waypoint #302. At Eagle Summit, north and west of parking area Steese Highway, Fairbanks North Star Borough, Alaska.	https://lichenportal.org/portal/collections/individual/index.php?occid=3350794
SRP	Roger Rosentreter, Jovan, Neitlich, Nelson, and McCune	Alaska	Fairbanks North Star Borough	31.47	outside_boundary_exact	Alaska, Yukon-Koyukuk County	65.486702,-145.415299	SRP-L-0004826	Waypoint #302. At Eagle Summit, north and west of parking area Steese Highway, Fairbanks North Star Borough, Alaska.	https://lichenportal.org/portal/collections/individual/index.php?occid=1128803
SRP	Roger Rosentreter, Jovan, Neitlich, Nelson, and McCune	Alaska	Fairbanks North Star Borough	31.47	outside_boundary_exact	Alaska, Yukon-Koyukuk County	65.486702,-145.415299	SRP-L-0006467	Waypoint #302. At Eagle Summit, north and west of parking area Steese Highway, Fairbanks North Star Borough, Alaska.	https://lichenportal.org/portal/collections/individual/index.php?occid=1128590
SRP	Roger Rosentreter, Jovan, Neitlich, Nelson, and McCune	Alaska	Fairbanks North Star Borough	31.47	outside_boundary_exact	Alaska, Yukon-Koyukuk County	65.486702,-145.415299	SRP-L-0006419	Waypoint #302. At Eagle Summit, north and west of parking area Steese Highway, Fairbanks North Star Borough, Alaska.	https://lichenportal.org/portal/collections/individual/index.php?occid=1128631
SRP	Roger Rosentreter, Jovan, Neitlich, Nelson, and McCune	Alaska	Fairbanks North Star Borough	31.47	outside_boundary_exact	Alaska, Yukon-Koyukuk County	65.486702,-145.415299	SRP-L-0010743	Waypoint #302. At Eagle Summit, north and west of parking area Steese Highway, Fairbanks North Star Borough, Alaska.	https://lichenportal.org/portal/collections/individual/index.php?occid=1577252
SRP	Roger Rosentreter, Jovan, Neitlich, Nelson, and McCune	Alaska	Fairbanks North Star Borough	31.47	outside_boundary_exact	Alaska, Yukon-Koyukuk County	65.486702,-145.415299	SRP-L-0002427	Waypoint #302. At Eagle Summit, north and west of parking area Steese Highway, Fairbanks North Star Borough, Alaska.	https://lichenportal.org/portal/collections/individual/index.php?occid=1106349
SRP	Roger Rosentreter, Jovan, Neitlich, Nelson, and McCune	Alaska	Fairbanks North Star Borough	31.47	outside_boundary_exact	Alaska, Yukon-Koyukuk County	65.486702,-145.415299	SRP-L-0008791	Waypoint #302. At Eagle Summit, north and west of parking area Steese Highway, Fairbanks North Star Borough, Alaska.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443726
SRP	Roger Rosentreter, Jovan, Neitlich, Nelson, and McCune	Alaska	Fairbanks North Star Borough	31.47	outside_boundary_exact	Alaska, Yukon-Koyukuk County	65.486702,-145.415299	SRP-L-0001469	Waypoint #302. At Eagle Summit, north and west of parking area Steese Highway, Fairbanks North Star Borough, Alaska.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445076
SRP	Roger Rosentreter, Jovan, Neitlich, Nelson, and McCune	Alaska	Fairbanks North Star Borough	31.47	outside_boundary_exact	Alaska, Yukon-Koyukuk County	65.486702,-145.415299	SRP-L-0010390	Waypoint #302. At Eagle Summit, north and west of parking area Steese Highway, Fairbanks North Star Borough, Alaska.	https://lichenportal.org/portal/collections/individual/index.php?occid=1576971
SRP	Roger Rosentreter, Jovan, Neitlich, Nelson, and McCune	Alaska	Fairbanks North Star Borough	31.47	outside_boundary_exact	Alaska, Yukon-Koyukuk County	65.486702,-145.415299	SRP-L-0001855	Waypoint #302. At Eagle Summit, north and west of parking area Steese Highway, Fairbanks North Star Borough, Alaska.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445607
