institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MIN	Wetmore, C.	Wisconsin	Ashland	6571.92	outside_boundary_exact	not_found_in_US	45,-2	625747	Mellen, 3 Mi N of; Copper Falls State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=305964
MIN	Wetmore, C.	Wisconsin	Ashland	6571.92	outside_boundary_exact	not_found_in_US	45,-2	626833	Mellen, 3 Mi N of; Copper Falls State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=306868
MIN	Wetmore, C.	Wisconsin	Ashland	6571.92	outside_boundary_exact	not_found_in_US	45,-2	629172	Mellen, 3 Mi N of; Copper Falls State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=308757
MIN	Wetmore, C.	Wisconsin	Washburn	127.61	outside_boundary_exact	Michigan, Gogebic County	46.64111111,-90.04972222	878247	Namekagon River 2.5 Mi N of Earl; Saint Croix National Scenic Riverway	https://lichenportal.org/portal/collections/individual/index.php?occid=414375
MIN	Ladd, D.	Wisconsin	Chippewa	127.38	outside_boundary_exact	Wisconsin, Vilas County	46.01472222,-89.65694444	889516	E of Highway Ee 2.8 Mi S of Highway 64	https://lichenportal.org/portal/collections/individual/index.php?occid=423260
MIN	Wetmore, C.	Wisconsin	Ashland	58.2	outside_boundary_exact	Minnesota, Cook County	47.83194444,-90.75861111	791245	Basswood Island, S End; Apostle Islands National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371376
MIN	Wetmore, C.	Wisconsin	Ashland	58.2	outside_boundary_exact	Minnesota, Cook County	47.83194444,-90.75861111	791246	Basswood Island, S End; Apostle Islands National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371377
MIN	Wetmore, C.	Wisconsin	Ashland	58.2	outside_boundary_exact	Minnesota, Cook County	47.83194444,-90.75861111	791247	Basswood Island, S End; Apostle Islands National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371378
MIN	Wetmore, C.	Wisconsin	Ashland	58.2	outside_boundary_exact	Minnesota, Cook County	47.83194444,-90.75861111	791248	Basswood Island, S End; Apostle Islands National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371379
MIN	Wetmore, C.	Wisconsin	Ashland	58.2	outside_boundary_exact	Minnesota, Cook County	47.83194444,-90.75861111	791249	Basswood Island, S End; Apostle Islands National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371380
MIN	Wetmore, C.	Wisconsin	Ashland	58.2	outside_boundary_exact	Minnesota, Cook County	47.83194444,-90.75861111	791250	Basswood Island, S End; Apostle Islands National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371381
MIN	Wetmore, C.	Wisconsin	Ashland	58.2	outside_boundary_exact	Minnesota, Cook County	47.83194444,-90.75861111	791251	Basswood Island, S End; Apostle Islands National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371382
MIN	Wetmore, C.	Wisconsin	Ashland	58.2	outside_boundary_exact	Minnesota, Cook County	47.83194444,-90.75861111	791252	Basswood Island, S End; Apostle Islands National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371383
MIN	Wetmore, C.	Wisconsin	Ashland	58.2	outside_boundary_exact	Minnesota, Cook County	47.83194444,-90.75861111	791253	Basswood Island, S End; Apostle Islands National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371384
MIN	Wetmore, C.	Wisconsin	Ashland	58.2	outside_boundary_exact	Minnesota, Cook County	47.83194444,-90.75861111	791254	Basswood Island, S End; Apostle Islands National Lakeshore	https://lichenportal.org/portal/collections/individual/index.php?occid=371385
